Week,date,Negative,Positive,Anger,Fear,Sadness,Joy,new_hosp_symptoms,new_intensive_care,new_hosp,new_deceased,new_positives,new_vaccination
2021-W09,2021-03-07,0.2631284916201117,0.5333333333333333,0.23243712055507368,0.24235294117647055,0.4110169491525424,0.5726495726495726,0.8753052722310012,0.8830874006810443,0.8753049955053294,0.6378103119032463,0.8300881043357438,0.05826906076574023
2021-W10,2021-03-14,0.6810055865921787,0.9416666666666668,0.5802254986990459,0.8470588235294116,0.8347457627118644,0.9059829059829061,0.9999999999999999,1.0,1.0,0.7250159134309356,0.8800391574825528,0.10311236860594081
2021-W11,2021-03-21,0.8150837988826816,1.0,0.7068516912402428,0.9670588235294117,1.0,1.0,0.9413877316477517,0.8740068104426788,0.9333504558880186,0.8640992998090388,0.7663687750655257,0.04355977044467102
2021-W12,2021-03-28,0.42234636871508374,0.5666666666666667,0.4180398959236774,0.37882352941176467,0.47457627118644075,0.5897435897435899,0.6901307283436287,0.720771850170261,0.6914087581867214,0.9258434118395925,0.5206492563236177,0.21015274979254628
2021-W13,2021-04-04,0.32234636871508376,0.4833333333333334,0.3061578490893322,0.28470588235294114,0.40254237288135597,0.5641025641025641,0.5914380117799166,0.5062429057888762,0.5782714781045332,0.9595798854232972,0.48504752581551774,0.24296132989035557
2021-W14,2021-04-11,0.3787709497206703,0.5666666666666667,0.3842150910667823,0.3035294117647059,0.5254237288135594,0.42735042735042744,0.5305272231001292,0.48354143019296253,0.5225375626043406,0.9999999999999999,0.5178766539299586,0.3367491329203628
2021-W15,2021-04-18,0.23463687150837986,0.4083333333333333,0.19427580225498695,0.2823529411764706,0.3008474576271186,0.4615384615384616,0.22683522482401947,0.2883087400681044,0.2283292667265956,0.8246339910884786,0.2226797612656709,0.4188305282772119
2021-W16,2021-04-25,0.09162011173184353,0.44166666666666665,0.06418039895923677,0.10823529411764704,0.17372881355932204,0.47863247863247865,0.0,0.06242905788876274,0.0,0.7094207511139401,0.31584299112640923,0.5102425755911312
2021-W17,2021-05-02,0.07206703910614523,0.6166666666666667,0.058976582827406754,0.10117647058823528,0.08898305084745761,0.6068376068376069,0.06895560982617432,0.010215664018161208,0.05573391550019258,0.5910248249522597,0.25427100767360344,0.686128425398078
2021-W18,2021-05-09,0.10446927374301673,0.45000000000000007,0.05810928013876843,0.17411764705882354,0.20762711864406777,0.43589743589743596,0.19350668007470184,0.05107832009080593,0.1716964171054321,0.5009548058561426,0.3264155114156693,0.794956709752886
2021-W19,2021-05-16,0.13910614525139664,0.35,0.09280138768430182,0.2188235294117647,0.20762711864406777,0.358974358974359,0.0889240051716707,0.08172531214528944,0.08167458584820853,0.3949713558243157,0.19609688319070329,0.8331578235376664
2021-W20,2021-05-23,0.123463687150838,0.45833333333333337,0.08326105810928011,0.15764705882352942,0.2627118644067796,0.43589743589743596,0.026432983766700113,0.0,0.016566071657891313,0.31413112667091025,0.19046957400448417,0.8484664501446146
2021-W21,2021-05-30,0.12122905027932962,0.4,0.07025151777970509,0.27058823529411763,0.11864406779661016,0.35042735042735046,0.07369630800172383,0.036322360953461974,0.06292538846795936,0.2352005092297899,0.21779770739255377,0.8797495304873721
2021-W22,2021-06-06,0.23798882681564243,0.75,0.2055507372072853,0.2941176470588235,0.30508474576271183,0.700854700854701,0.16075276540726902,0.06242905788876274,0.14370104019519708,0.12571610439210693,0.24108377806549403,0.9262370799334769
2021-W23,2021-06-13,0.9999999999999998,0.9500000000000001,1.0,1.0,0.9449152542372882,0.8803418803418803,0.28946990374946124,0.14755959137343927,0.26839604468986766,0.12635264162953533,0.22557236239618533,1.0
2021-W24,2021-06-20,0.5094972067039105,0.7833333333333333,0.4553339115351258,0.628235294117647,0.5677966101694916,0.6837606837606838,0.3077144088493032,0.20544835414301932,0.29125465519455496,0.05919796308084022,0.3175166577193924,0.9446443635632018
2021-W25,2021-06-27,0.08324022346368715,0.15833333333333335,0.04683434518647006,0.15294117647058825,0.14830508474576268,0.11965811965811968,0.36086769142364594,0.28717366628830876,0.3480159239758572,0.03819223424570337,0.0,0.969501603474336
2021-W26,2021-07-04,0.0754189944134078,0.09166666666666665,0.0424978317432784,0.14588235294117646,0.09322033898305085,0.11111111111111116,0.4194799597758942,0.3496027241770715,0.4074739951200719,0.030235518777848504,0.3711497773707645,0.906997110461846
2021-W27,2021-07-11,0.06927374301675976,0.19999999999999998,0.03382480485689504,0.1623529411764706,0.06779661016949151,0.20512820512820518,0.45984772302830046,0.3473325766174801,0.44330294079876714,0.014003819223424571,0.4407490447468974,0.9293832796315464
2021-W28,2021-07-18,0.4905027932960893,0.30833333333333335,0.5125758889852559,0.46352941176470586,0.3728813559322034,0.3333333333333334,0.4882919120815974,0.4256526674233825,0.47707717991524334,0.0031826861871419483,0.5274828686013832,0.9503863473973142
2021-W29,2021-07-25,0.6491620111731844,0.5583333333333333,0.7198612315698178,0.48,0.538135593220339,0.5811965811965814,0.5502083034046832,0.4767309875141884,0.5392320534223706,0.0,0.6383995957937285,0.9057343586320847
2021-W30,2021-08-01,0.3988826815642457,0.43333333333333335,0.41890719861231573,0.38117647058823523,0.3686440677966102,0.2905982905982906,0.5960350524349949,0.5175936435868331,0.5843071786310517,0.010821133036282626,0.6696561088830644,0.7732888483946767
2021-W31,2021-08-08,0.29441340782122905,0.275,0.27753686036426706,0.3129411764705882,0.326271186440678,0.25641025641025644,0.6125556672891825,0.5368898978433598,0.6012585077693592,0.023233609166136218,0.6432753339438533,0.5683322603694134
2021-W32,2021-08-15,0.28268156424581004,0.2666666666666667,0.27666955767562873,0.3105882352941176,0.2627118644067796,0.2136752136752137,0.5915816693003878,0.5550510783200908,0.5845640169513291,0.04137492043284532,0.6138819591372723,0.2602623850391699
2021-W33,2021-08-22,0.32346368715083795,0.275,0.29575021682567215,0.3670588235294117,0.35169491525423724,0.27350427350427353,0.6022123258152563,0.5584562996594779,0.5944522922820085,0.07542966263526416,0.5516594562162503,0.10989236751728249
2021-W34,2021-08-29,0.32737430167597764,0.30000000000000004,0.32090199479618386,0.34352941176470586,0.2923728813559322,0.3162393162393163,0.5678781784226403,0.5187287173666288,0.5592654424040067,0.08274984086569065,0.5497584235955411,0.2115781113522951
2021-W35,2021-09-05,0.41675977653631285,0.21666666666666665,0.4588031222896791,0.32235294117647056,0.326271186440678,0.24786324786324793,0.5341186611119091,0.5119182746878547,0.5252343649672531,0.10821133036282624,0.5133609119904001,0.23268476243476377
2021-W36,2021-09-12,0.39441340782122897,0.33333333333333337,0.41023417172593235,0.3552941176470588,0.35593220338983045,0.32478632478632485,0.5214767993104438,0.45629965947786605,0.513162963914216,0.10248249522597072,0.47724129219692424,0.16195653497039375
2021-W37,2021-09-19,0.3100558659217877,0.16666666666666666,0.3495229835212489,0.2188235294117647,0.24152542372881355,0.1880341880341881,0.4999281712397643,0.45062429057888764,0.4914601258507769,0.09834500318268619,0.44728581804402057,0.14975391497853807
2021-W38,2021-09-26,0.2184357541899441,0.275,0.217692974848222,0.23529411764705882,0.21610169491525424,0.1880341880341881,0.4839821864674615,0.41316685584562995,0.4723256709901117,0.09707192870782941,0.4266081409669372,0.19750042662086642
2021-W39,2021-10-03,0.13575418994413407,0.06666666666666668,0.11708586296617515,0.16470588235294115,0.13559322033898305,0.11965811965811968,0.44418905329694003,0.4188422247446084,0.4373956594323873,0.0802036919159771,0.4389616951400512,0.07466611605970902
2021-W40,2021-10-10,0.14972067039106146,0.23333333333333336,0.1326973113616652,0.17882352941176471,0.17796610169491525,0.2136752136752137,0.4499353541157879,0.40068104426787743,0.4404777192757159,0.05983450031826861,0.45443521647140556,0.032431798654243726
2021-W41,2021-10-17,0.3184357541899441,0.15,0.35732870771899394,0.19294117647058823,0.31355932203389825,0.17094017094017094,0.4658813388880907,0.3870601589103292,0.4531912161294465,0.05028644175684278,0.46071304512584077,0.11905995039484535
2021-W42,2021-10-24,0.18044692737430168,0.1,0.15091066782307025,0.23764705882352938,0.20338983050847456,0.10256410256410259,0.48441315902887505,0.44040862656072643,0.4742519583921921,0.06460852959898153,0.462273028704961,0.04130172304301605
2021-W43,2021-10-31,0.21452513966480447,0.1416666666666667,0.18300086730268864,0.2611764705882353,0.27118644067796605,0.12820512820512825,0.5556672891825887,0.4483541430192962,0.5410299216643123,0.06110757479312539,0.5496068462437238,0.015593882658705871
2021-W44,2021-11-07,0.35698324022346367,0.2583333333333333,0.380745880312229,0.2964705882352941,0.3008474576271186,0.2905982905982906,0.581525642867404,0.5141884222474461,0.5718505200975985,0.06460852959898153,0.602999968421385,0.0
2021-W45,2021-11-14,0.26927374301675977,0.21666666666666665,0.27059843885516044,0.28705882352941176,0.22457627118644066,0.17948717948717952,0.5773595747737393,0.5266742338251986,0.5686400410941312,0.09802673456397198,0.6516562983547541,0.07946229923267961
2021-W46,2021-11-21,0.2949720670391061,0.4083333333333333,0.2888117953165654,0.2917647058823529,0.288135593220339,0.4444444444444445,0.6155724752190777,0.52894438138479,0.6030563760113009,0.10184595798854232,0.6976789718002968,0.12334694462518575
2021-W47,2021-11-28,0.4346368715083799,0.41666666666666674,0.39462272333044235,0.5011764705882352,0.4703389830508474,0.4188034188034188,0.6042235311018531,0.5925085130533485,0.600102735328111,0.13208147676639084,0.7491710613572489,0.3371885007359927
2021-W48,2021-12-05,0.3553072625698324,0.4,0.3183000867302689,0.4141176470588235,0.4067796610169492,0.38461538461538464,0.6062347363884498,0.5698070374574347,0.5993322203672788,0.1397199236155315,0.7989010641993242,0.6778105242946515
2021-W49,2021-12-12,0.2731843575418994,0.21666666666666665,0.24457935819601037,0.3670588235294117,0.19915254237288135,0.25641025641025644,0.6733227984484986,0.5641316685584563,0.6586618723513549,0.1763208147676639,0.8451321565036157,0.7723005579029592
2021-W50,2021-12-19,0.4039106145251396,0.35,0.424978317432784,0.30117647058823527,0.44491525423728817,0.358974358974359,0.6631231144950437,0.6140749148694665,0.6551945550276101,0.2316995544239338,1.0,0.8881175006884501
2021-W51,2021-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.6328113776756212,0.5107832009080591,0.6161551303454476,0.11266709102482494,0.7666719297691603,0.516009938486209
